CNN,STREET,ST_TYPE,ZIP_CODE,DISTRICT,ACCEPTED,JURISDICTI,NHOOD,LAYER,CNNTEXT,STREETNAME,STREETNA_2,ROWACTUALA,NEIGHBORHO,POINT_X,POINT_Y
2180101,ALEMANY,BLVD,94112,11,N,,Oceanview,STREETS,2180101,ALEMANY BLVD,ALEMANY BLVD fr:PALMETTO AVE to:ORIZABA AVE,23819,Oceanview,5994295.335,2087200.501
3947000,CHESTER,AVE,94132,7,N,,Ingleside Heights,STREETS,3947000,CHESTER AVE,CHESTER AVE fr:PALMETTO AVE to:END: 300-336 BLOCK,7938,Ingleside Heights,5991720.416,2087146.358
2181101,ALEMANY,BLVD,94132,7,N,DPW,Ingleside Heights,STREETS,2181101,ALEMANY BLVD,ALEMANY BLVD fr:ORIZABA AVE to:BRIGHT ST,26008,Ingleside Heights,5993866.384,2087393.756
6851000,HEAD,ST,94132,7,N,,Ingleside Heights,PAPER,6851000,HEAD ST,HEAD ST fr:HEAD ST to:END: 217-249 BLOCK,4986,Ingleside Heights,5993477.059,2087487.47
9980000,ORIZABA,AVE,94132,11,N,,Ingleside Heights,Paper_fwys,9980000,ORIZABA AVE,ORIZABA AVE fr:PALMETTO AVE to:ALEMANY BLVD,7421,Ingleside Heights,5993995.884,2087300.572
6853000,HEAD,ST,94132,11,N,,Ingleside Heights,Paper_fwys,6853000,HEAD ST,HEAD ST fr:STANLEY ST to:HEAD ST,9543,Ingleside Heights,5993483.494,2087941.355
7802000,KEMPTON,AVE,94132,7,N,,Ingleside Heights,Paper_fwys,7802000,KEMPTON AVE,KEMPTON AVE fr:START: 1-53 BLOCK to:KEMPTON AVE,6646,Ingleside Heights,5992304.82,2087734.376
11288000,SAINT CHARLES,AVE,94132,7,N,,Ingleside Heights,Paper_fwys,11288000,SAINT CHARLES AVE,SAINT CHARLES AVE fr:START: 90-99 BLOCK to:PAYSON ST,4104,Ingleside Heights,5992057.218,2087820.1
6850000,HEAD,ST,94132,7,N,DPW,Ingleside Heights,STREETS,6850000,HEAD ST,HEAD ST fr:PALMETTO AVE to:HEAD ST,12717,Ingleside Heights,5993475.796,2087338.725
3126000,BRIGHT,ST,94132,7,N,DPW,Ingleside Heights,STREETS,3126000,BRIGHT ST,BRIGHT ST fr:PALMETTO AVE to:ALEMANY BLVD,12634,Ingleside Heights,5993735.203,2087337.755
3948000,CHESTER,AVE,94132,7,N,,Ingleside Heights,STREETS,3948000,CHESTER AVE,CHESTER AVE fr:ALEMANY BLVD to:BELLE AVE,21363,Ingleside Heights,5991715.713,2086729.995
9981000,ORIZABA,AVE,94132,11,N,DPW,Ingleside Heights,STREETS,9981000,ORIZABA AVE,ORIZABA AVE fr:SAGAMORE ST to:SADOWA ST,19467,Ingleside Heights,5993999.444,2087605.079
